ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price,description
1,10uF,"C21,C3,C6",C0603,3,CL10A106MP8NNNC,Samsung Electro-Mechanics,LCSC,C85713,0.096,
2,PRTR5V0U2X-MS,D3,SOT-143-4_L2.9-W1.3-P1.92-LS2.4-BL,1,PRTR5V0U2X-MS,MSKSEMI(美森科),LCSC,C2836313,0.096,
3,1N4007FL_C2840959,D4,SOD-123W_L2.8-W1.8-LS3.7-RD,1,1N4007FL,艾吉芯(Agertech),LCSC,C2840959,0.011,
4,10K,R8,R0402,1,AC0402FR-0710KL,YAGEO,LCSC,C144807,0.001,
5,5.1K,"R9,R10",R0402,2,RC0402DR-075K1L,YAGEO,LCSC,C138073,0.007,
6,100nF,"C1,C2,C4,C8,C18,C66,C67",C0402,7,CL05B104KB54PNC,Samsung Electro-Mechanics,LCSC,C307331,0.006,
7,AMS1117-3.3,U2,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,AMS1117-3.3,AMS,LCSC,C6186,0.164,
8,TS-1187A-B-A-B,"BOOT1,RST1",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,2,TS-1187A-B-A-B,XKB Enterprise,LCSC,C318884,0.016,
9,10k,"R1,R2,R6,R7",R0603,4,SDNT1608X103J3450HTF,Sunlord,LCSC,C43113,0.022,
10,470,"R3,R4",R0603,2,RCT03470KFLF,HKR,LCSC,C177612,0.089,
11,S8050_C2146,"Q1,Q3",SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,2,S8050,CJ,LCSC,C2146,0.019,
12,100uF,C5,CAP-SMD_L3.5-W2.8,1,TAJB107K006RNJ,AVX,LCSC,C16133,0.187,
13,SS34_C8678,D1,DO-214AC_L4.3-W2.7-LS5.3-RD,1,SS34,MDD,LCSC,C8678,0.043,
14,10uF,"C19,C20,C10,C11,C12,C14,C15,C16,C17,C13",C0805,10,GRM21BR61H106KE43L,Murata Electronics,LCSC,C440198,0.104,
15,P6SMB6.8CA-C78395,D2,SMB_L4.6-W3.6-LS5.3-BI,1,P6SMB6.8CA,Brightking,LCSC,C78395,0.062,
16,KT-0603R,LED1RED,LED0603-R-RD,1,D-B060306B1-KS2,Wuxi ARK Tech Elec,LCSC,C118339,0.023,
17,4.7K,"R5,R23",R0402,2,0402WGF4701TCE,UniOhm,LCSC,C25900,0.001,
18,19-217/GHC-YR1S2/3T,LED2GREEN,LED0603-R-RD,1,19-217/GHC-YR1S2/3T,EVERLIGHT,LCSC,C72043,0.03,
19,CH340G,U1,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,1,CH340G,WCH,LCSC,C14267,0.577,
20,12MHz,X1,CRYSTAL-SMD_3P-L3.2-W1.3-P1.2-L,1,CSTNE12M0G550000R0,Murata Electronics,LCSC,C341520,0.238,
21,MC-311D,USBC1,USB-C-SMD_MC-311D,1,MC-311D,SOFNG,LCSC,C136423,0.862,
22,XH-2A,5V,CONN-TH_XH-2A,1,XH-2A,BOOMELE,LCSC,C20079,0.006,
23,M5STACK BOARD-VRL-3,H1,M5_CUSTOM_B,1,5330-M5CONN2X15F,M5 Stack,https://www.futurashop.it/,5330-M5CONN2X15F,,
24,I2C,J1,HDR-M-2.54_1X5,1,,,LCSC,C358687,0.027,
25,HDR-M-2.54_1x8,LCD1,HDR-M-2.54_1X8,1,,,LCSC,C2905417,0.094,
27,HDR-M-2.54_2x3,"S34,S56,S78, S12",HDR-M-2.54_2X3,4,,Changjiang Connectors,LCSC,C239334,0.125,
28,ULTRASONIC-HC-SR04#V,U5,ULTRASONIC-HC-SR04#V,1,,,,,,Ultrasonic Ranging Module HC-SR04
29,ESP32-WROOM-32U,U3,WIFIM-SMD_39P-L25.5-W18.0-P1.27-BL,1,ESP32-WROOM-32U,ESPRESSIF 乐鑫,LCSC,C328062,3.769,